Generation 	 MaximumFitness 	 AverageFitness 	 GeneticDiversity 
487          0.534728             0.502851                  0.031876 
488          0.532594             0.503888                  0.028706 
489          0.527256             0.503379                  0.023876 
490          0.531844             0.503626                  0.028218 
491          0.531739             0.503806                  0.027933 
492          0.530361             0.504155                  0.026206 
493          0.530833             0.504864                  0.025969 
494          0.540878             0.505031                  0.035847 
495          0.533806             0.505385                  0.028421 
496          0.533872             0.505692                  0.028180 
497          0.531467             0.506141                  0.025326 
498          0.542322             0.506658                  0.035664 
499          0.534044             0.506756                  0.027289 
500          0.535367             0.507138                  0.028229 
501          0.539856             0.507333                  0.032522 
502          0.535639             0.507503                  0.028136 
503          0.538767             0.508113                  0.030654 
504          0.543417             0.508285                  0.035131 
505          0.535650             0.508195                  0.027455 
506          0.539017             0.508323                  0.030694 
507          0.536578             0.508477                  0.028101 
508          0.535267             0.508963                  0.026304 
509          0.540061             0.509348                  0.030713 
510          0.541217             0.509756                  0.031460 
511          0.539672             0.510438                  0.029234 
512          0.538944             0.510390                  0.028555 
513          0.538139             0.511283                  0.026856 
514          0.548311             0.511856                  0.036455 
515          0.545056             0.512180                  0.032875 
516          0.539339             0.512504                  0.026834 
517          0.537394             0.512782                  0.024612 
518          0.538933             0.513246                  0.025687 
519          0.543411             0.513301                  0.030110 
520          0.539822             0.514212                  0.025610 
521          0.542811             0.513797                  0.029014 
522          0.542533             0.514333                  0.028200 
523          0.542217             0.514613                  0.027603 
524          0.540183             0.514951                  0.025232 
525          0.544106             0.515674                  0.028431 
526          0.543444             0.516195                  0.027249 
527          0.544344             0.516347                  0.027997 
528          0.538606             0.516183                  0.022422 
529          0.547150             0.516724                  0.030426 
530          0.546878             0.517256                  0.029622 
531          0.542639             0.517498                  0.025141 
532          0.548056             0.517751                  0.030304 
533          0.550306             0.517667                  0.032638 
534          0.544356             0.518522                  0.025834 
535          0.542522             0.518453                  0.024069 
536          0.549967             0.519114                  0.030852 
537          0.547561             0.519505                  0.028056 
538          0.547356             0.520071                  0.027285 
539          0.547067             0.520255                  0.026811 
540          0.552939             0.519974                  0.032965 
541          0.552394             0.520046                  0.032348 
542          0.549783             0.520597                  0.029187 
543          0.549094             0.520792                  0.028302 
544          0.544700             0.520890                  0.023810 
545          0.550217             0.521598                  0.028619 
546          0.549183             0.521654                  0.027530 
547          0.546844             0.521624                  0.025220 
548          0.547894             0.522399                  0.025496 
549          0.551189             0.523095                  0.028094 
550          0.547172             0.523264                  0.023908 
551          0.551389             0.523846                  0.027543 
552          0.551306             0.523573                  0.027733 
553          0.550261             0.523857                  0.026404 
554          0.554500             0.524573                  0.029927 
555          0.548533             0.524524                  0.024009 
556          0.554228             0.525297                  0.028931 
557          0.550450             0.525922                  0.024528 
558          0.552394             0.526346                  0.026049 
559          0.551622             0.526640                  0.024983 
560          0.555122             0.526938                  0.028184 
561          0.556900             0.527410                  0.029490 
562          0.560350             0.527665                  0.032685 
563          0.558828             0.527991                  0.030836 
564          0.555444             0.527938                  0.027506 
565          0.563106             0.527926                  0.035180 
566          0.557161             0.528192                  0.028969 
567          0.555583             0.528435                  0.027149 
568          0.563678             0.528634                  0.035044 
569          0.555806             0.529011                  0.026795 
570          0.554211             0.529753                  0.024458 
571          0.559178             0.529826                  0.029352 
572          0.552322             0.529789                  0.022533 
573          0.555628             0.530121                  0.025507 
574          0.560433             0.530655                  0.029779 
575          0.556839             0.530678                  0.026160 
576          0.558017             0.531070                  0.026947 
577          0.556194             0.530770                  0.025424 
578          0.566783             0.530923                  0.035860 
579          0.560028             0.531326                  0.028702 
580          0.559617             0.531429                  0.028188 
581          0.565139             0.531812                  0.033327 
582          0.560678             0.532159                  0.028519 
583          0.567728             0.532749                  0.034979 
584          0.562033             0.532815                  0.029219 
585          0.565650             0.533384                  0.032266 
586          0.567322             0.533239                  0.034083 
587          0.565172             0.533358                  0.031814 
588          0.556983             0.533538                  0.023445 
589          0.563889             0.534143                  0.029746 
590          0.561072             0.534458                  0.026614 
591          0.566639             0.534601                  0.032038 
592          0.565067             0.534255                  0.030812 
593          0.564739             0.535164                  0.029575 
594          0.562667             0.535342                  0.027325 
595          0.568256             0.535954                  0.032302 
596          0.570733             0.536715                  0.034018 
597          0.564594             0.537001                  0.027593 
598          0.566539             0.536808                  0.029731 
599          0.561733             0.536682                  0.025051 
600          0.562189             0.536909                  0.025280 
601          0.564039             0.537236                  0.026802 
602          0.576500             0.536581                  0.039919 
603          0.572983             0.536914                  0.036069 
604          0.566044             0.537009                  0.029036 
605          0.570372             0.537555                  0.032818 
606          0.568211             0.537198                  0.031013 
607          0.574528             0.538015                  0.036513 
608          0.564950             0.538499                  0.026451 
609          0.569711             0.538102                  0.031610 
610          0.570461             0.538302                  0.032159 
611          0.564778             0.538763                  0.026015 
612          0.571672             0.539252                  0.032420 
613          0.563444             0.539391                  0.024054 
614          0.568406             0.539539                  0.028867 
615          0.566056             0.539684                  0.026372 
616          0.570511             0.539234                  0.031277 
617          0.571783             0.539873                  0.031911 
618          0.565572             0.540944                  0.024629 
619          0.570844             0.541648                  0.029197 
620          0.568439             0.542187                  0.026252 
621          0.569261             0.542045                  0.027216 
622          0.568539             0.542341                  0.026198 
623          0.571294             0.542838                  0.028456 
624          0.567756             0.542799                  0.024956 
625          0.569278             0.542883                  0.026394 
